date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Nov%202020%2022:44:14%20GMT	https://newcrestmining.ltd/robots.txt		(from )
07:43:39	47636/47636	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2027%20Nov%202020%2022:44:13%20GMT	https://newcrestmining.ltd/	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/index.html	(from )
07:43:45	926/926	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Nov%202020%2022:44:15%20GMT	https://fonts.googleapis.com/css?family=Poppins:300,400,500,600,700	C:/My%20Web%20Sites/newcrest/fonts.googleapis.com/css6079.css	(from https://newcrestmining.ltd/)
07:43:45	14304/14304	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2005:10:17%20GMT	https://newcrestmining.ltd/images/favicon.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/favicon.png	(from https://newcrestmining.ltd/)
07:43:45	122546/122546	U-----	200	untouched ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/bootstrap.min.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/bootstrap.min.css	(from https://newcrestmining.ltd/)
07:43:45	31006/31006	U-----	200	untouched ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/font-awesome.min.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/font-awesome.min.css	(from https://newcrestmining.ltd/)
07:43:47	4026/4026	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2027%20Nov%202020%2022:44:22%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/newcrest/translate.google.com/translate_a/fa0d8.txt	(from https://newcrestmining.ltd/)
07:43:47	1091/1091	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Nov%202020%2022:44:21%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400,500,500i,700,900	C:/My%20Web%20Sites/newcrest/fonts.googleapis.com/css1592.css	(from https://newcrestmining.ltd/)
07:43:47	9753/9753	U-----	200	untouched ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/pe-icon-7-stroke.css	(from https://newcrestmining.ltd/)
07:43:48	16457/16457	U-----	200	untouched ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/themify-icons.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/themify-icons.css	(from https://newcrestmining.ltd/)
